|     | cinsiyetiniz   |   yaşınız | medenidurum   | mezuniyet   | yaşadığınyer   | bölge       | mesleğiseçmenedeni      | meslekideneyimsüresi   | bakışaçısı      | yurtdışındabulundunuzmu   | bakımverdinizmi   | bakımvermekistermisiniz   | yabancıdilbiliyormusunuz   | kültürkonusundaeğitimaldınızmı   | yurtdışındaçalışmakistermisiniz   | sempozyumkongrekatıldınızmı   | zeka1                  | zeka2                   | zeka3                  | zeka4                   | zeka5                   | zeka6                   | zeka7                  | zeka8                  | zeka9                  | zeka10                 | zeka11                  | zeka12                 | zeka13                 | zeka14                  | zeka15                 | zeka16                  | zeka17                  | zeka18                  | zeka19                 | zeka20                 | duyarlılık1             | duyarlılık2             | duyarlılık3            | duyarlılık4             | duyarlılık5            | duyarlılık6            | duyarlılık7             | duyarlılık8            | duyarlılık9             | duyarlılık10           | duyarlılık11           | duyarlılık12            | duyarlılık13           | duyarlılık14           | duyarlılık15            | duyarlılık16           | duyarlılık17           | duyarlılık18            | duyarlılık19            | duyarlılık20            | duyarlılık21           | duyarlılık22            | duyarlılık23           | duyarlılık24           |
|  69 | kadın          |        29 | bekar         | önlisans    | il             | ege-marmara | istediğim meslek olması | 11 yıl ve üzeri        | olumsuz değişti | evet                      | evet              | evet                      | hayır                      | hayır                            | evet                              | hayır                         | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum             | katılıyorum             | kararsızım              | katılıyorum            | katılıyorum            | kararsızım             | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum             | katılıyorum             | katılıyorum             | katılıyorum            | katılıyorum            | katılıyorum             | katılmıyorum            | katılıyorum            | kararsızım              | karasızım              | kararsızım             | katılmıyorum            | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum            | katılmıyorum            | kararsızım             | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | kararsızım              | katılıyorum             | katılıyorum            | katılıyorum             | katılıyorum            | kararsızım             |
|  70 | kadın          |        23 | bekar         | lisans      | il             | içanadolu   | kolay iş bulma          | 3-5 yıl                | olumsuz değişti | hayır                     | evet              | evet                      | evet                       | evet                             | evet                              | hayır                         | kesinlikle katılıyorum | kesinlikle katılmıyorum | kesinlikle katılıyorum | kesinlikle katılmıyorum | kesinlikle katılıyorum  | kesinlikle katılıyorum  | kesinlikle katılıyorum | kesinlikle katılıyorum | kesinlikle katılıyorum | kesinlikle katılıyorum | kesinlikle katılıyorum  | kesinlikle katılıyorum | kesinlikle katılıyorum | kesinlikle katılıyorum  | kesinlikle katılıyorum | katılmıyorum            | katılıyorum             | katılıyorum             | katılıyorum            | katılıyorum            | kesinlikle katılmıyorum | kesinlikle katılmıyorum | katılıyorum            | katılmıyorum            | karasızım              | katılıyorum            | katılmıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılmıyorum            | katılmıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            |
|  71 | kadın          |        45 | evli          | lisans      | il             | karadeniz   | kolay iş bulma          | 11 yıl ve üzeri        | olumsuz değişti | hayır                     | evet              | hayır                     | hayır                      | hayır                            | evet                              | hayır                         | katılmıyorum           | katılmıyorum            | katılmıyorum           | katılıyorum             | katılmıyorum            | katılmıyorum            | katılmıyorum           | katılmıyorum           | katılmıyorum           | katılmıyorum           | katılmıyorum            | kararsızım             | kararsızım             | katılmıyorum            | kararsızım             | karasızım               | katılıyorum             | kararsızım              | katılıyorum            | katılıyorum            | kararsızım              | kararsızım              | kararsızım             | katılıyorum             | katılmıyorum           | katılmıyorum           | kararsızım              | kesinlikle katılıyorum | kararsızım              | kararsızım             | kararsızım             | kararsızım              | katılıyorum            | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum            | kesinlikle katılmıyorum | katılıyorum             | katılmıyorum            | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum            |
|  72 | kadın          |        24 | bekar         | lisans      | il             | karadeniz   | diğer                   | 3-5 yıl                | olumsuz değişti | hayır                     | hayır             | evet                      | hayır                      | hayır                            | evet                              | hayır                         | kararsızım             | katılıyorum             | katılıyorum            | katılıyorum             | kararsızım              | kararsızım              | kararsızım             | kararsızım             | kararsızım             | kararsızım             | kararsızım              | kararsızım             | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum             | katılıyorum             | katılıyorum             | katılıyorum            | katılıyorum            | katılıyorum             | kesinlikle katılmıyorum | kararsızım             | kararsızım              | karasızım              | kararsızım             | kesinlikle katılmıyorum | kesinlikle katılıyorum | kararsızım              | katılıyorum            | kesinlikle katılıyorum | kararsızım              | kesinlikle katılıyorum | kesinlikle katılıyorum | kararsızım              | kesinlikle katılıyorum | katılıyorum            | kesinlikle katılmıyorum | kesinlikle katılmıyorum | kesinlikle katılmıyorum | kesinlikle katılıyorum | katılmıyorum            | kararsızım             | katılıyorum            |
|  73 | kadın          |        30 | evli          | lisans      | il             | karadeniz   | kolay iş bulma          | 0-2 yıl                | değişmedi       | hayır                     | hayır             | evet                      | hayır                      | hayır                            | evet                              | hayır                         | katılıyorum            | kararsızım              | kararsızım             | katılmıyorum            | katılıyorum             | kararsızım              | katılmıyorum           | kararsızım             | katılıyorum            | kararsızım             | katılmıyorum            | kararsızım             | katılıyorum            | kararsızım              | kararsızım             | katılmıyorum            | kararsızım              | katılıyorum             | kararsızım             | katılmıyorum           | katılmıyorum            | kararsızım              | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum            | kararsızım              | kararsızım             | kararsızım              | kararsızım             | katılıyorum            | katılıyorum             | kararsızım             | kararsızım             | katılıyorum             | katılıyorum            | katılıyorum            | katılıyorum             | katılıyorum             | katılıyorum             | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum            |
|  74 | kadın          |        35 | evli          | ortaöğretim | il             | karadeniz   | kolay iş bulma          | 3-5 yıl                | olumsuz değişti | hayır                     | evet              | evet                      | hayır                      | hayır                            | evet                              | hayır                         | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum             | katılıyorum             | kararsızım              | katılıyorum            | katılıyorum            | katılıyorum            | kararsızım             | katılıyorum             | kararsızım             | kararsızım             | kararsızım              | kesinlikle katılıyorum | katılıyorum             | katılmıyorum            | kararsızım              | kararsızım             | kararsızım             | katılıyorum             | kesinlikle katılmıyorum | katılıyorum            | kararsızım              | karasızım              | kararsızım             | kesinlikle katılmıyorum | katılıyorum            | katılıyorum             | katılıyorum            | kararsızım             | kararsızım              | katılıyorum            | kesinlikle katılıyorum | kararsızım              | kesinlikle katılıyorum | kesinlikle katılıyorum | kesinlikle katılmıyorum | kararsızım              | kararsızım              | katılıyorum            | katılıyorum             | kararsızım             | kesinlikle katılıyorum |
|  75 | kadın          |        28 | evli          | lisans      | il             | karadeniz   | ailemin isteği          | 6-10 yıl               | olumsuz değişti | hayır                     | evet              | hayır                     | hayır                      | hayır                            | evet                              | evet                          | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum             | katılıyorum             | katılıyorum             | katılıyorum            | katılıyorum            | katılıyorum            | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum             | katılıyorum             | katılıyorum             | katılıyorum            | katılıyorum            | kararsızım              | kesinlikle katılmıyorum | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum            | kesinlikle katılmıyorum | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | kesinlikle katılmıyorum | katılıyorum            | katılıyorum            | kesinlikle katılmıyorum | katılıyorum            | katılıyorum            | kesinlikle katılmıyorum | kesinlikle katılmıyorum | kesinlikle katılmıyorum | katılıyorum            | kesinlikle katılmıyorum | kararsızım             | katılıyorum            |
|  76 | kadın          |        28 | evli          | lisans      | il             | karadeniz   | kolay iş bulma          | 3-5 yıl                | olumsuz değişti | hayır                     | hayır             | evet                      | hayır                      | hayır                            | evet                              | evet                          | kararsızım             | katılıyorum             | kararsızım             | kararsızım              | katılmıyorum            | katılmıyorum            | katılmıyorum           | katılmıyorum           | kararsızım             | katılmıyorum           | katılıyorum             | kararsızım             | kararsızım             | kararsızım              | katılıyorum            | katılıyorum             | katılıyorum             | katılıyorum             | kararsızım             | kararsızım             | katılıyorum             | kesinlikle katılmıyorum | kararsızım             | kararsızım              | karasızım              | katılmıyorum           | katılmıyorum            | kararsızım             | katılmıyorum            | katılıyorum            | kararsızım             | katılmıyorum            | katılıyorum            | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum            | katılmıyorum            | kararsızım              | katılıyorum             | katılıyorum            | katılmıyorum            | kararsızım             | kararsızım             |
|  77 | kadın          |        25 | bekar         | lisans      | il             | içanadolu   | kolay iş bulma          | 0-2 yıl                | değişmedi       | hayır                     | evet              | evet                      | hayır                      | evet                             | evet                              | evet                          | katılıyorum            | katılıyorum             | kararsızım             | katılıyorum             | kararsızım              | kararsızım              | kararsızım             | kararsızım             | kararsızım             | kararsızım             | kararsızım              | kararsızım             | katılmıyorum           | katılmıyorum            | katılmıyorum           | katılıyorum             | katılmıyorum            | katılıyorum             | katılıyorum            | katılıyorum            | kararsızım              | katılmıyorum            | kararsızım             | kararsızım              | karasızım              | katılıyorum            | katılmıyorum            | katılıyorum            | katılmıyorum            | kararsızım             | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum             | kararsızım              | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            |
|  78 | kadın          |        35 | bekar         | lisans      | il             | içanadolu   | kolay iş bulma          | 6-10 yıl               | değişmedi       | hayır                     | evet              | evet                      | hayır                      | hayır                            | evet                              | hayır                         | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum             | katılmıyorum            | katılmıyorum            | katılmıyorum           | katılmıyorum           | kararsızım             | kararsızım             | kararsızım              | kararsızım             | katılmıyorum           | katılmıyorum            | katılıyorum            | katılıyorum             | katılıyorum             | katılıyorum             | katılıyorum            | katılıyorum            | katılıyorum             | katılmıyorum            | katılıyorum            | katılıyorum             | katılmıyorum           | kararsızım             | katılmıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılıyorum             | katılıyorum             | katılıyorum             | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum            |
|  79 | kadın          |        27 | evli          | lisans      | il             | karadeniz   | kolay iş bulma          | 0-2 yıl                | olumsuz değişti | hayır                     | evet              | evet                      | hayır                      | evet                             | evet                              | hayır                         | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum             | kararsızım              | katılmıyorum            | kararsızım             | kararsızım             | kararsızım             | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum            | kararsızım              | kararsızım             | katılıyorum             | katılıyorum             | katılıyorum             | katılıyorum            | katılıyorum            | katılıyorum             | katılmıyorum            | katılıyorum            | katılıyorum             | karasızım              | katılıyorum            | katılmıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | kararsızım              | kararsızım              | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            |
|  80 | kadın          |        22 | bekar         | önlisans    | il             | içanadolu   | istediğim meslek olması | 0-2 yıl                | olumsuz değişti | hayır                     | evet              | evet                      | evet                       | hayır                            | evet                              | hayır                         | kararsızım             | katılıyorum             | kararsızım             | katılıyorum             | kararsızım              | kararsızım              | kararsızım             | katılıyorum            | kararsızım             | katılıyorum            | katılıyorum             | katılıyorum            | kararsızım             | katılıyorum             | katılıyorum            | katılıyorum             | katılıyorum             | kararsızım              | katılıyorum            | katılıyorum            | katılıyorum             | katılmıyorum            | kararsızım             | kararsızım              | karasızım              | kararsızım             | katılmıyorum            | katılıyorum            | katılmıyorum            | kararsızım             | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | kararsızım              | katılmıyorum            | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum            |
|  81 | kadın          |        26 | evli          | lisans      | ilçe           | karadeniz   | diğer                   | 3-5 yıl                | olumsuz değişti | hayır                     | evet              | hayır                     | evet                       | evet                             | evet                              | evet                          | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum             | katılıyorum             | katılıyorum             | katılıyorum            | katılmıyorum           | katılmıyorum           | kararsızım             | kararsızım              | katılmıyorum           | katılmıyorum           | katılmıyorum            | kararsızım             | katılıyorum             | katılıyorum             | kararsızım              | kararsızım             | kararsızım             | kararsızım              | kesinlikle katılmıyorum | kararsızım             | kararsızım              | katılmıyorum           | katılıyorum            | kesinlikle katılmıyorum | kesinlikle katılıyorum | kararsızım              | katılmıyorum           | kararsızım             | katılmıyorum            | kararsızım             | kesinlikle katılıyorum | kesinlikle katılmıyorum | kesinlikle katılıyorum | kesinlikle katılıyorum | katılmıyorum            | kararsızım              | katılıyorum             | kesinlikle katılıyorum | kararsızım              | kararsızım             | kararsızım             |
|  82 | erkek          |        24 | bekar         | ortaöğretim | il             | içanadolu   | istediğim meslek olması | 3-5 yıl                | olumsuz değişti | hayır                     | evet              | hayır                     | evet                       | hayır                            | hayır                             | hayır                         | kesinlikle katılıyorum | katılıyorum             | kesinlikle katılıyorum | katılmıyorum            | katılmıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılıyorum            | katılmıyorum           | kesinlikle katılmıyorum | katılmıyorum           | kesinlikle katılıyorum | kesinlikle katılmıyorum | katılmıyorum           | kesinlikle katılmıyorum | kararsızım              | kesinlikle katılmıyorum | katılmıyorum           | katılmıyorum           | kesinlikle katılmıyorum | katılıyorum             | katılıyorum            | katılmıyorum            | katılmıyorum           | katılıyorum            | kesinlikle katılıyorum  | katılmıyorum           | kesinlikle katılmıyorum | katılıyorum            | katılıyorum            | kesinlikle katılmıyorum | kesinlikle katılıyorum | kararsızım             | kesinlikle katılmıyorum | katılmıyorum           | katılmıyorum           | kesinlikle katılıyorum  | kesinlikle katılıyorum  | kesinlikle katılıyorum  | katılmıyorum           | kesinlikle katılıyorum  | kesinlikle katılıyorum | kesinlikle katılıyorum |
|  83 | kadın          |        24 | evli          | lisans      | il             | ege-marmara | istediğim meslek olması | 0-2 yıl                | olumsuz değişti | hayır                     | evet              | evet                      | hayır                      | hayır                            | hayır                             | evet                          | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum             | kararsızım              | kararsızım              | katılmıyorum           | katılmıyorum           | katılmıyorum           | katılmıyorum           | kararsızım              | katılmıyorum           | katılmıyorum           | katılmıyorum            | kararsızım             | karasızım               | kararsızım              | kararsızım              | kararsızım             | kararsızım             | katılıyorum             | kararsızım              | katılmıyorum           | katılmıyorum            | katılmıyorum           | katılmıyorum           | katılmıyorum            | katılıyorum            | katılıyorum             | katılmıyorum           | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | kararsızım              | katılıyorum             | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            |
|  84 | erkek          |        34 | evli          | lisans      | il             | içanadolu   | kolay iş bulma          | 11 yıl ve üzeri        | olumsuz değişti | hayır                     | hayır             | evet                      | hayır                      | evet                             | hayır                             | hayır                         | kararsızım             | kesinlikle katılmıyorum | kesinlikle katılıyorum | katılıyorum             | katılmıyorum            | kesinlikle katılmıyorum | katılmıyorum           | kararsızım             | katılmıyorum           | katılmıyorum           | kesinlikle katılıyorum  | kesinlikle katılıyorum | kesinlikle katılıyorum | kesinlikle katılıyorum  | kesinlikle katılıyorum | kesinlikle katılıyorum  | kesinlikle katılıyorum  | kararsızım              | kesinlikle katılıyorum | kesinlikle katılıyorum | kesinlikle katılmıyorum | kesinlikle katılmıyorum | kesinlikle katılıyorum | katılmıyorum            | kesinlikle katılıyorum | katılmıyorum           | katılmıyorum            | kararsızım             | kesinlikle katılmıyorum | kesinlikle katılıyorum | kararsızım             | kesinlikle katılmıyorum | kesinlikle katılıyorum | kesinlikle katılıyorum | kesinlikle katılmıyorum | kesinlikle katılıyorum | kesinlikle katılıyorum | kesinlikle katılmıyorum | kesinlikle katılmıyorum | kararsızım              | kesinlikle katılıyorum | kesinlikle katılmıyorum | kesinlikle katılıyorum | kesinlikle katılıyorum |
|  85 | erkek          |        28 | evli          | lisans      | il             | içanadolu   | kolay iş bulma          | 3-5 yıl                | olumsuz değişti | hayır                     | evet              | evet                      | evet                       | evet                             | evet                              | evet                          | katılmıyorum           | katılmıyorum            | kararsızım             | kararsızım              | kararsızım              | katılmıyorum            | katılıyorum            | kararsızım             | kararsızım             | katılıyorum            | kararsızım              | kararsızım             | kararsızım             | katılmıyorum            | kararsızım             | katılmıyorum            | katılmıyorum            | katılmıyorum            | katılmıyorum           | katılmıyorum           | katılmıyorum            | katılmıyorum            | kararsızım             | katılmıyorum            | karasızım              | kararsızım             | katılmıyorum            | katılıyorum            | katılmıyorum            | kararsızım             | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılmıyorum            | katılmıyorum            | katılmıyorum           | katılmıyorum            | kararsızım             | kararsızım             |
|  86 | kadın          |        26 | evli          | önlisans    | il             | karadeniz   | istediğim meslek olması | 3-5 yıl                | değişmedi       | hayır                     | evet              | evet                      | hayır                      | hayır                            | evet                              | evet                          | kesinlikle katılıyorum | kesinlikle katılmıyorum | kesinlikle katılıyorum | katılıyorum             | kararsızım              | katılmıyorum            | kararsızım             | kararsızım             | kararsızım             | kararsızım             | kesinlikle katılıyorum  | katılıyorum            | katılıyorum            | kararsızım              | kararsızım             | katılıyorum             | katılıyorum             | kararsızım              | katılıyorum            | katılıyorum            | kesinlikle katılmıyorum | kesinlikle katılmıyorum | kararsızım             | katılmıyorum            | karasızım              | kararsızım             | kesinlikle katılmıyorum | kesinlikle katılıyorum | kararsızım              | kararsızım             | kesinlikle katılıyorum | katılmıyorum            | kesinlikle katılıyorum | kesinlikle katılıyorum | kesinlikle katılmıyorum | kesinlikle katılıyorum | kesinlikle katılıyorum | kesinlikle katılmıyorum | kararsızım              | kesinlikle katılmıyorum | kesinlikle katılıyorum | kesinlikle katılmıyorum | kesinlikle katılıyorum | kesinlikle katılıyorum |
|  87 | kadın          |        24 | bekar         | lisans      | il             | karadeniz   | kolay iş bulma          | 3-5 yıl                | olumsuz değişti | evet                      | evet              | hayır                     | hayır                      | hayır                            | hayır                             | hayır                         | katılıyorum            | kararsızım              | kararsızım             | katılıyorum             | kararsızım              | katılmıyorum            | katılıyorum            | katılıyorum            | katılıyorum            | kararsızım             | katılıyorum             | kararsızım             | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum             | katılıyorum             | katılıyorum             | katılıyorum            | katılıyorum            | kararsızım              | katılmıyorum            | katılmıyorum           | katılıyorum             | karasızım              | katılıyorum            | katılmıyorum            | kesinlikle katılıyorum | katılıyorum             | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | kesinlikle katılıyorum | katılıyorum            | kesinlikle katılmıyorum | katılıyorum             | katılıyorum             | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            |
|  88 | kadın          |        27 | bekar         | lisans      | il             | ege-marmara | kolay iş bulma          | 3-5 yıl                | olumsuz değişti | hayır                     | evet              | hayır                     | evet                       | hayır                            | evet                              | hayır                         | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum             | katılmıyorum            | katılıyorum             | katılmıyorum           | kararsızım             | katılmıyorum           | katılmıyorum           | kararsızım              | kararsızım             | katılıyorum            | katılıyorum             | katılıyorum            | katılmıyorum            | katılıyorum             | kararsızım              | katılıyorum            | katılıyorum            | katılıyorum             | katılmıyorum            | katılmıyorum           | kararsızım              | katılmıyorum           | katılmıyorum           | katılmıyorum            | katılıyorum            | kararsızım              | kararsızım             | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | kararsızım             | katılmıyorum            | katılmıyorum            | katılmıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            |
|  89 | erkek          |        27 | bekar         | lisans      | il             | içanadolu   | kolay iş bulma          | 3-5 yıl                | değişmedi       | evet                      | evet              | hayır                     | evet                       | evet                             | evet                              | evet                          | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum             | katılıyorum             | katılıyorum             | katılıyorum            | katılıyorum            | katılıyorum            | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum            | kararsızım              | katılıyorum            | karasızım               | katılıyorum             | kararsızım              | katılıyorum            | katılıyorum            | katılıyorum             | katılıyorum             | katılıyorum            | katılıyorum             | katılıyorum            | kararsızım             | katılıyorum             | katılıyorum            | katılıyorum             | katılıyorum            | katılmıyorum           | katılmıyorum            | katılmıyorum           | katılmıyorum           | katılmıyorum            | katılmıyorum           | katılmıyorum           | katılmıyorum            | katılmıyorum            | katılmıyorum            | katılmıyorum           | katılmıyorum            | katılmıyorum           | katılmıyorum           |
|  90 | kadın          |        26 | bekar         | lisans      | il             | karadeniz   | kolay iş bulma          | 0-2 yıl                | olumsuz değişti | hayır                     | evet              | evet                      | hayır                      | hayır                            | evet                              | hayır                         | kararsızım             | katılıyorum             | katılıyorum            | katılıyorum             | katılmıyorum            | kararsızım              | katılıyorum            | kararsızım             | kararsızım             | kararsızım             | kararsızım              | kararsızım             | kararsızım             | katılıyorum             | katılıyorum            | katılıyorum             | katılıyorum             | kararsızım              | katılıyorum            | katılıyorum            | katılıyorum             | katılmıyorum            | kararsızım             | katılıyorum             | karasızım              | kararsızım             | kararsızım              | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | kararsızım              | katılıyorum             | kararsızım              | kararsızım             | katılmıyorum            | katılıyorum            | katılıyorum            |
|  91 | kadın          |        27 | evli          | lisans      | il             | içanadolu   | kolay iş bulma          | 3-5 yıl                | olumsuz değişti | hayır                     | evet              | evet                      | evet                       | hayır                            | evet                              | hayır                         | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum             | katılmıyorum            | katılmıyorum            | katılmıyorum           | katılmıyorum           | katılmıyorum           | katılmıyorum           | kararsızım              | katılıyorum            | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum             | katılıyorum             | katılıyorum             | katılıyorum            | katılıyorum            | katılıyorum             | katılmıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum            | katılıyorum             | katılıyorum             | katılıyorum            | katılıyorum             | katılıyorum            | katılıyorum            |
|  92 | erkek          |        29 | bekar         | önlisans    | il             | içanadolu   | ailemin isteği          | 11 yıl ve üzeri        | değişmedi       | evet                      | evet              | evet                      | evet                       | hayır                            | hayır                             | hayır                         | katılmıyorum           | katılmıyorum            | katılmıyorum           | katılmıyorum            | katılmıyorum            | katılmıyorum            | katılmıyorum           | kararsızım             | katılmıyorum           | katılıyorum            | kesinlikle katılmıyorum | katılmıyorum           | katılmıyorum           | kesinlikle katılmıyorum | katılmıyorum           | kesinlikle katılmıyorum | katılmıyorum            | katılmıyorum            | katılmıyorum           | katılmıyorum           | kesinlikle katılmıyorum | katılıyorum             | katılmıyorum           | katılıyorum             | katılmıyorum           | katılmıyorum           | kesinlikle katılıyorum  | katılmıyorum           | kararsızım              | katılmıyorum           | katılmıyorum           | katılıyorum             | katılmıyorum           | katılmıyorum           | katılıyorum             | katılmıyorum           | katılmıyorum           | katılıyorum             | katılmıyorum            | kararsızım              | katılmıyorum           | kararsızım              | katılmıyorum           | katılmıyorum           |
|  93 | erkek          |        42 | evli          | lisans      | il             | içanadolu   | kolay iş bulma          | 11 yıl ve üzeri        | olumsuz değişti | hayır                     | evet              | hayır                     | hayır                      | evet                             | hayır                             | hayır                         | katılıyorum            | kararsızım              | kararsızım             | kararsızım              | katılıyorum             | kararsızım              | kararsızım             | katılmıyorum           | katılmıyorum           | katılmıyorum           | kararsızım              | kararsızım             | kararsızım             | kararsızım              | katılmıyorum           | karasızım               | kararsızım              | katılmıyorum            | kararsızım             | katılmıyorum           | kararsızım              | kararsızım              | katılmıyorum           | kararsızım              | katılmıyorum           | katılıyorum            | kararsızım              | katılmıyorum           | kararsızım              | katılıyorum            | kararsızım             | katılmıyorum            | kararsızım             | katılıyorum            | kararsızım              | katılmıyorum           | kararsızım             | katılıyorum             | kararsızım              | katılıyorum             | kararsızım             | kararsızım              | kararsızım             | katılıyorum            |
|  94 | kadın          |        42 | evli          | lisans      | il             | içanadolu   | kolay iş bulma          | 11 yıl ve üzeri        | olumlu değişti  | hayır                     | evet              | hayır                     | hayır                      | hayır                            | hayır                             | hayır                         | kararsızım             | katılıyorum             | kararsızım             | kararsızım              | kesinlikle katılmıyorum | kesinlikle katılmıyorum | katılmıyorum           | katılmıyorum           | kararsızım             | katılmıyorum           | kararsızım              | kararsızım             | kararsızım             | katılıyorum             | kararsızım             | katılıyorum             | kararsızım              | kararsızım              | kararsızım             | kararsızım             | kararsızım              | katılmıyorum            | kararsızım             | kararsızım              | karasızım              | kararsızım             | katılmıyorum            | katılıyorum            | katılıyorum             | kararsızım             | katılıyorum            | kararsızım              | katılıyorum            | katılıyorum            | katılıyorum             | katılıyorum            | kararsızım             | kararsızım              | katılıyorum             | katılıyorum             | katılıyorum            | katılıyorum             | kararsızım             | kesinlikle katılıyorum |
|  95 | kadın          |        24 | bekar         | lisans      | il             | karadeniz   | kolay iş bulma          | 0-2 yıl                | değişmedi       | hayır                     | evet              | evet                      | hayır                      | evet                             | evet                              | hayır                         | kesinlikle katılıyorum | kesinlikle katılmıyorum | katılıyorum            | katılıyorum             | kararsızım              | katılmıyorum            | katılıyorum            | katılıyorum            | katılmıyorum           | katılmıyorum           | kesinlikle katılıyorum  | katılıyorum            | kararsızım             | kararsızım              | katılmıyorum           | katılmıyorum            | katılmıyorum            | katılıyorum             | katılıyorum            | kesinlikle katılıyorum | kesinlikle katılmıyorum | kesinlikle katılmıyorum | katılıyorum            | kesinlikle katılmıyorum | katılmıyorum           | katılmıyorum           | kesinlikle katılmıyorum | kesinlikle katılıyorum | kesinlikle katılmıyorum | kesinlikle katılıyorum | katılmıyorum           | kesinlikle katılmıyorum | kesinlikle katılıyorum | katılıyorum            | kesinlikle katılmıyorum | kesinlikle katılıyorum | kesinlikle katılıyorum | kesinlikle katılmıyorum | kararsızım              | kesinlikle katılıyorum  | katılıyorum            | katılmıyorum            | katılıyorum            | katılıyorum            |
